>COG2501_Clostridium_botulinum_a2_str_kyoto.ASM2276v1:ACO84193,>COG2501_0
>BAM56203 cds chromosome:ASM52304v1:Chromosome:1939:3075:1 gene:BEST7003_0002 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:dnaN description:DNA polymerase III subunit beta,>BAM56203 cds chromosome:ASM52304v1:Chromosome:1939:3075:1 gene:BEST7003_1
>BAM56204 cds chromosome:ASM52304v1:Chromosome:3205:3420:1 gene:BEST7003_0003 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaA description:RNA binding protein,>BAM56204 cds chromosome:ASM52304v1:Chromosome:3205:3420:1 gene:BEST7003_2
>BAM56205 cds chromosome:ASM52304v1:Chromosome:3436:4548:1 gene:BEST7003_0004 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:recF description:recombination protein F,>BAM56205 cds chromosome:ASM52304v1:Chromosome:3436:4548:1 gene:BEST7003_3
>BAM56206 cds chromosome:ASM52304v1:Chromosome:4566:4811:1 gene:BEST7003_0005 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaB description:hypothetical protein,>BAM56206 cds chromosome:ASM52304v1:Chromosome:4566:4811:1 gene:BEST7003_4
>BAM56207 cds chromosome:ASM52304v1:Chromosome:4860:6782:1 gene:BEST7003_0006 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:gyrB description:DNA gyrase subunit B,>BAM56207 cds chromosome:ASM52304v1:Chromosome:4860:6782:1 gene:BEST7003_5
>BAM56208 cds chromosome:ASM52304v1:Chromosome:6993:9458:1 gene:BEST7003_0007 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:gyrA description:DNA gyrase subunit A,>BAM56208 cds chromosome:ASM52304v1:Chromosome:6993:9458:1 gene:BEST7003_6
>BAM56209 cds chromosome:ASM52304v1:Chromosome:14846:15793:-1 gene:BEST7003_0008 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaC description:hypothetical protein,>BAM56209 cds chromosome:ASM52304v1:Chromosome:14846:15793:-1 gene:BEST7003_7
>BAM56210 cds chromosome:ASM52304v1:Chromosome:15914:17380:1 gene:BEST7003_0009 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:guaB description:inosine 5'-monophosphate dehydrogenase,>BAM56210 cds chromosome:ASM52304v1:Chromosome:15914:17380:1 gene:BEST7003_8
>BAM56211 cds chromosome:ASM52304v1:Chromosome:17533:18864:1 gene:BEST7003_0010 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:dacA description:D-alanyl-D-alanine carboxypeptidase,>BAM56211 cds chromosome:ASM52304v1:Chromosome:17533:18864:1 gene:BEST7003_9
>BAM56212 cds chromosome:ASM52304v1:Chromosome:19061:19945:1 gene:BEST7003_0011 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaD description:pyridoxal biosynthesis lyase PdxS,>BAM56212 cds chromosome:ASM52304v1:Chromosome:19061:19945:1 gene:BEST7003_10
>BAM56213 cds chromosome:ASM52304v1:Chromosome:19967:20557:1 gene:BEST7003_0012 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaE description:glutamine amidotransferase subunit PdxT,>BAM56213 cds chromosome:ASM52304v1:Chromosome:19967:20557:1 gene:BEST7003_11
>BAM56214 cds chromosome:ASM52304v1:Chromosome:20879:22156:1 gene:BEST7003_0013 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:serS description:seryl-tRNA synthetase,>BAM56214 cds chromosome:ASM52304v1:Chromosome:20879:22156:1 gene:BEST7003_12
>BAM56215 cds chromosome:ASM52304v1:Chromosome:22495:23148:-1 gene:BEST7003_0014 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:dck description:deoxyadenosine/deoxycytidine kinase,>BAM56215 cds chromosome:ASM52304v1:Chromosome:22495:23148:-1 gene:BEST7003_13
>BAM56216 cds chromosome:ASM52304v1:Chromosome:23145:23768:-1 gene:BEST7003_0015 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:dgk description:deoxyguanosine kinase,>BAM56216 cds chromosome:ASM52304v1:Chromosome:23145:23768:-1 gene:BEST7003_14
>BAM56217 cds chromosome:ASM52304v1:Chromosome:23867:25150:-1 gene:BEST7003_0016 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaH description:spore peptidoglycan hydrolase,>BAM56217 cds chromosome:ASM52304v1:Chromosome:23867:25150:-1 gene:BEST7003_15
>BAM56218 cds chromosome:ASM52304v1:Chromosome:25220:25765:-1 gene:BEST7003_0017 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaI description:isochorismatase,>BAM56218 cds chromosome:ASM52304v1:Chromosome:25220:25765:-1 gene:BEST7003_16
>BAM56219 cds chromosome:ASM52304v1:Chromosome:25851:26336:1 gene:BEST7003_0018 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tadA description:tRNA specific adenosine deaminase,>BAM56219 cds chromosome:ASM52304v1:Chromosome:25851:26336:1 gene:BEST7003_17
>BAM56220 cds chromosome:ASM52304v1:Chromosome:26813:28504:1 gene:BEST7003_0019 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:dnaX description:DNA polymerase III subunits gamma and tau,>BAM56220 cds chromosome:ASM52304v1:Chromosome:26813:28504:1 gene:BEST7003_18
>BAM56221 cds chromosome:ASM52304v1:Chromosome:28528:28851:1 gene:BEST7003_0020 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaK description:hypothetical protein,>BAM56221 cds chromosome:ASM52304v1:Chromosome:28528:28851:1 gene:BEST7003_19
>BAM56222 cds chromosome:ASM52304v1:Chromosome:28866:29462:1 gene:BEST7003_0021 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:recR description:recombination protein RecR,>BAM56222 cds chromosome:ASM52304v1:Chromosome:28866:29462:1 gene:BEST7003_20
>BAM56223 cds chromosome:ASM52304v1:Chromosome:29480:29704:1 gene:BEST7003_0022 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaL description:hypothetical protein,>BAM56223 cds chromosome:ASM52304v1:Chromosome:29480:29704:1 gene:BEST7003_21
>BAM56224 cds chromosome:ASM52304v1:Chromosome:29771:30034:1 gene:BEST7003_0023 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:bofA description:inhibitor of the pro-sigma(K) processingmachinery,>BAM56224 cds chromosome:ASM52304v1:Chromosome:29771:30034:1 gene:BEST7003_22
>BAM56225 cds chromosome:ASM52304v1:Chromosome:35530:35724:1 gene:BEST7003_0024 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:csfB description:forespore-specific protein,>BAM56225 cds chromosome:ASM52304v1:Chromosome:35530:35724:1 gene:BEST7003_23
>BAM56226 cds chromosome:ASM52304v1:Chromosome:35844:36458:1 gene:BEST7003_0025 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:xpaC description:phosphatase,>BAM56226 cds chromosome:ASM52304v1:Chromosome:35844:36458:1 gene:BEST7003_24
>BAM56227 cds chromosome:ASM52304v1:Chromosome:36477:37637:1 gene:BEST7003_0026 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaN description:hypothetical protein,>BAM56227 cds chromosome:ASM52304v1:Chromosome:36477:37637:1 gene:BEST7003_25
>BAM56228 cds chromosome:ASM52304v1:Chromosome:37719:39161:1 gene:BEST7003_0027 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaO description:lysine decarboxylase,>BAM56228 cds chromosome:ASM52304v1:Chromosome:37719:39161:1 gene:BEST7003_26
>BAM56229 cds chromosome:ASM52304v1:Chromosome:39158:39796:1 gene:BEST7003_0028 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tmk description:thymidylate kinase,>BAM56229 cds chromosome:ASM52304v1:Chromosome:39158:39796:1 gene:BEST7003_27
>BAM56230 cds chromosome:ASM52304v1:Chromosome:39870:40199:1 gene:BEST7003_0029 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaQ description:hypothetical protein,>BAM56230 cds chromosome:ASM52304v1:Chromosome:39870:40199:1 gene:BEST7003_28
>BAM56231 cds chromosome:ASM52304v1:Chromosome:40212:40652:1 gene:BEST7003_0030 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaR description:hypothetical protein,>BAM56231 cds chromosome:ASM52304v1:Chromosome:40212:40652:1 gene:BEST7003_29
>BAM56232 cds chromosome:ASM52304v1:Chromosome:40664:41653:1 gene:BEST7003_0031 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:holB description:DNA polymerase III subunit delta',>BAM56232 cds chromosome:ASM52304v1:Chromosome:40664:41653:1 gene:BEST7003_30
>BAM56233 cds chromosome:ASM52304v1:Chromosome:41656:42483:1 gene:BEST7003_0032 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yaaT description:hypothetical protein,>BAM56233 cds chromosome:ASM52304v1:Chromosome:41656:42483:1 gene:BEST7003_31
>BAM56234 cds chromosome:ASM52304v1:Chromosome:42498:42857:1 gene:BEST7003_0033 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yabA description:DNA replication intiation control protein YabA,>BAM56234 cds chromosome:ASM52304v1:Chromosome:42498:42857:1 gene:BEST7003_32
